Crop,Season,Area,Fertilizer,Temperature,rainfall,yeild
arhar/tur,kharif,6637.0,631.0,37.0,205.0,7.06
castor seed,kharif,796.0,75.0,31.0,205.0,0.28
cotton lint,kharif,1739.0,165.0,36.0,205.0,4.57
gram,rabi,2979.0,283.0,35.0,205.0,5.06
mesta,kharif,5915.0,562.0,16.0,205.0,49.03
onion,whole year,7832.0,745.0,18.0,205.0,22.91
sweet potato,whole year,9380.0,892.0,17.0,205.0,34.77
tapioca,whole year,2465.0,234.0,38.0,205.0,47.58
tobacco,whole year,433.0,41.0,23.0,205.0,0.6
bajra,summer,820.0,78.0,28.0,126.0,8.07
black pepper,kharif,3825.0,364.0,16.0,126.0,2.42
dry chillies,rabi,4565.0,434.0,32.0,126.0,17.29
garlic,whole year,5061.0,481.0,22.0,126.0,7.51
ginger,kharif,3619.0,344.0,19.0,126.0,13.11
jowar,summer,6137.0,584.0,24.0,126.0,24.66
arecanut,whole year,9569.0,910.0,20.0,381.0,12.66
arhar/tur,kharif,865.0,82.0,31.0,381.0,7.9
castor seed,rabi,30.0,2.0,20.0,381.0,5.0
cotton lint,kharif,7544.0,717.0,20.0,381.0,7.41
dry chillies,whole year,1766.0,168.0,19.0,381.0,6.26
gram,rabi,443.0,42.0,23.0,381.0,6.09
linseed,kharif,50.0,4.0,38.0,381.0,4.4
mesta,kharif,4688.0,446.0,34.0,381.0,45.99
mesta,whole year,861.0,81.0,33.0,381.0,8.28
rapeseed andmustard,rabi,6914.0,658.0,33.0,381.0,6.46
sesamum,kharif,1326.0,126.0,36.0,381.0,5.19
small millets,kharif,2804.0,266.0,26.0,381.0,7.98
soyabean,kharif,898.0,85.0,27.0,381.0,9.06
sugarcane,whole year,82.0,7.0,28.0,381.0,27.44
sweet potato,whole year,5212.0,496.0,31.0,381.0,32.57
tapioca,whole year,3959.0,376.0,22.0,381.0,53.26
tobacco,rabi,742.0,70.0,33.0,381.0,6.81
turmeric,whole year,1401.0,133.0,40.0,381.0,50.86
wheat,rabi,4287.0,407.0,29.0,381.0,16.08
arecanut,whole year,8058.0,766.0,21.0,185.0,15.42
arhar/tur,whole year,3630.0,345.0,20.0,185.0,6.01
bajra,kharif,207.0,19.0,31.0,185.0,4.59
barley,whole year,6116.0,582.0,33.0,185.0,8.23
cardamom,whole year,2674.0,254.0,34.0,185.0,0.03
castor seed,whole year,660.0,62.0,19.0,185.0,0.7
horse-gram,kharif,5645.0,537.0,21.0,185.0,4.53
jowar,whole year,948.0,90.0,26.0,185.0,4.75
moong green gram,kharif,1490.0,141.0,37.0,185.0,4.77
moong green gram,rabi,3269.0,311.0,25.0,185.0,5.23
niger seed,whole year,6512.0,619.0,24.0,185.0,5.41
sannhamp,whole year,2015.0,191.0,30.0,185.0,45.03
small millets,whole year,5046.0,480.0,23.0,185.0,6.39
soyabean,kharif,1555.0,147.0,32.0,185.0,7.54
sunflower,whole year,278.0,26.0,35.0,185.0,0.04
arecanut,kharif,66.0,6.0,17.0,143.0,3.48
bajra,kharif,149.0,14.0,35.0,143.0,21.74
black pepper,kharif,12.0,1.0,35.0,143.0,5.83
cotton lint,summer,453.0,44.0,30.0,143.0,8.21
groundnut,rabi,1046.0,103.0,18.0,143.0,19.71
ragi,kharif,112.0,11.0,24.0,143.0,32.68
rice,kharif,4945.0,488.0,15.0,143.0,23.29
rice,summer,5716.0,564.0,35.0,143.0,26.0
sesamum,kharif,147.0,14.0,26.0,143.0,8.16
arhar/tur,kharif,7657.0,756.0,26.0,235.0,7.04
castor seed,kharif,1728.0,170.0,29.0,235.0,4.1
cotton lint,kharif,1652.0,163.0,19.0,235.0,4.55
gram,rabi,3002.0,296.0,16.0,235.0,5.01
mesta,kharif,5260.0,519.0,29.0,235.0,48.71
niger seed,kharif,8753.0,864.0,18.0,235.0,5.12
onion,whole year,8083.0,798.0,37.0,235.0,22.69
sweet potato,whole year,9433.0,931.0,20.0,235.0,34.39
tapioca,whole year,2798.0,276.0,23.0,235.0,47.39
tobacco,whole year,1465.0,144.0,23.0,235.0,5.0
arecanut,whole year,1500.0,148.0,25.0,296.0,12.13
black pepper,whole year,250.0,24.0,27.0,296.0,2.8
groundnut,kharif,350.0,34.0,27.0,296.0,11.77
groundnut,rabi,1048.0,103.0,31.0,296.0,20.27
ragi,kharif,2500.0,247.0,19.0,296.0,9.9
bajra,rabi,451.0,44.0,26.0,126.0,11.88
bajra,summer,846.0,83.0,24.0,126.0,5.89
black pepper,whole year,4387.0,433.0,28.0,126.0,23.57
garlic,whole year,3574.0,353.0,29.0,126.0,8.49
jowar,summer,8897.0,879.0,25.0,126.0,26.01
rapeseed andmustard,kharif,6673.0,659.0,37.0,126.0,2.68
turmeric,whole year,5007.0,494.0,25.0,126.0,50.7
dry chillies,whole year,297.0,29.0,28.0,315.0,9.7
groundnut,kharif,7021.0,693.0,27.0,315.0,7.43
jowar,kharif,2177.0,215.0,23.0,315.0,5.09
ragi,kharif,1157.0,114.0,37.0,315.0,8.09
sesamum,kharif,3303.0,326.0,19.0,315.0,3.2
turmeric,whole year,3706.0,366.0,17.0,315.0,21.68
arecanut,whole year,9585.0,946.0,39.0,655.0,12.07
arhar/tur,kharif,861.0,85.0,32.0,655.0,7.87
cotton lint,kharif,7549.0,745.0,33.0,655.0,7.42
dry chillies,whole year,1764.0,174.0,40.0,655.0,5.96
gram,rabi,463.0,45.0,35.0,655.0,6.11
linseed,kharif,51.0,5.0,38.0,655.0,4.51
mesta,kharif,4681.0,462.0,20.0,655.0,45.64
mesta,whole year,871.0,86.0,17.0,655.0,7.24
rapeseed andmustard,rabi,6916.0,683.0,33.0,655.0,6.62
sesamum,kharif,1322.0,130.0,15.0,655.0,5.25
small millets,kharif,2823.0,278.0,35.0,655.0,8.08
soyabean,kharif,899.0,88.0,26.0,655.0,9.03
sugarcane,whole year,83.0,8.0,18.0,655.0,27.11
sweet potato,whole year,5181.0,511.0,22.0,655.0,33.37
tobacco,whole year,742.0,73.0,33.0,655.0,6.83
turmeric,whole year,1375.0,135.0,23.0,655.0,50.89
wheat,rabi,4287.0,423.0,40.0,655.0,16.32
arecanut,whole year,8239.0,814.0,16.0,215.0,16.59
arhar/tur,kharif,2606.0,257.0,16.0,215.0,6.42
bajra,kharif,175.0,17.0,34.0,215.0,4.8
barley,rabi,5938.0,586.0,27.0,215.0,9.95
cardamom,whole year,2875.0,284.0,29.0,215.0,2.4
castor seed,rabi,54.0,5.0,35.0,215.0,7.04
cotton lint,kharif,200.0,19.0,30.0,215.0,3.65
ginger,kharif,9398.0,928.0,29.0,215.0,20.05
horse-gram,rabi,4958.0,489.0,26.0,215.0,4.12
jowar,kharif,886.0,87.0,19.0,215.0,4.67
moong green gram,kharif,822.0,81.0,36.0,215.0,5.22
moong green gram,rabi,2729.0,269.0,38.0,215.0,5.86
moong green gram,summer,9320.0,920.0,33.0,215.0,3.2
