State,Commodity,Price
uttarakhand,water melon,1800.0
west bengal,bottle gourd,1500.0
tamil nadu,potato,2700.0
tamil nadu,green peas,8250.0
tamil nadu,pumpkin,1900.0
tamil nadu,green chilli,3900.0
tamil nadu,onion,2750.0
tamil nadu,sapota,3750.0
tamil nadu,beans,6750.0
tamil nadu,cabbage,3200.0
tamil nadu,snakeguard,2600.0
tamil nadu,beetroot,4750.0
tamil nadu,ridge gourd,3800.0
tamil nadu,drumstick,3500.0
tamil nadu,onion,3200.0
tamil nadu,mint,2750.0
tamil nadu,onion,2100.0
tamil nadu,brinjal,1750.0
tamil nadu,ginger,6500.0
tamil nadu,ridge gourd,3250.0
tamil nadu,sapota,3000.0
tamil nadu,pumpkin,2000.0
tamil nadu,coconut,3250.0
tamil nadu,mango,7000.0
tamil nadu,potato,3000.0
tamil nadu,coconut,6000.0
tamil nadu,carrot,6000.0
tamil nadu,brinjal,4250.0
tamil nadu,papaya,2750.0
tamil nadu,tomato,1750.0
tamil nadu,bottle gourd,1250.0
tamil nadu,green chilli,2750.0
tamil nadu,banana,2750.0
tamil nadu,raddish,2250.0
tamil nadu,cauliflower,2750.0
tamil nadu,bitter gourd,3900.0
tamil nadu,bottle gourd,1350.0
tamil nadu,raddish,2200.0
tamil nadu,drumstick,2750.0
tamil nadu,muskmelon,2900.0
tamil nadu,mint,2900.0
tamil nadu,maize,2750.0
tamil nadu,potato,3500.0
tamil nadu,papaya,3250.0
tamil nadu,green chilli,3750.0
tamil nadu,banana,3500.0
tamil nadu,ginger,7500.0
tamil nadu,beetroot,5750.0
tamil nadu,mango,6000.0
tamil nadu,mint,3750.0
maharashtra,tomato,1000.0
maharashtra,carrot,1250.0
maharashtra,onion,925.0
maharashtra,cabbage,600.0
maharashtra,garlic,7500.0
maharashtra,peas,2250.0
maharashtra,rice,2469.0
maharashtra,lime,6000.0
maharashtra,brinjal,1500.0
maharashtra,pineapple,5000.0
maharashtra,grapes,7000.0
maharashtra,potato,900.0
maharashtra,mango,4500.0
maharashtra,onion,800.0
maharashtra,green chilli,7000.0
maharashtra,rice,4400.0
uttar pradesh,raddish,400.0
uttar pradesh,green chilli,2500.0
west bengal,bitter gourd,3400.0
west bengal,tomato,2100.0
tamil nadu,banana,3250.0
tamil nadu,sapota,3800.0
tamil nadu,papaya,3300.0
tamil nadu,tomato,2000.0
tamil nadu,bottle gourd,2250.0
tamil nadu,ginger,6900.0
tamil nadu,cabbage,2000.0
tamil nadu,cucumber,2800.0
tamil nadu,papaya,2750.0
tamil nadu,banana,2750.0
tamil nadu,ginger,7250.0
tamil nadu,brinjal,4750.0
tamil nadu,tomato,1750.0
tamil nadu,beans,7000.0
tamil nadu,snakeguard,3750.0
tamil nadu,bitter gourd,3650.0
tamil nadu,bottle gourd,2900.0
tamil nadu,ridge gourd,3900.0
tamil nadu,onion,2750.0
tamil nadu,coriander leaves,6500.0
tamil nadu,sapota,3750.0
tamil nadu,green chilli,5750.0
tamil nadu,carrot,5750.0
tamil nadu,beetroot,5250.0
tamil nadu,lemon,7750.0
